model_name,model_version,organization_id,blood_group,component_type,forecast_horizon,mae,rmse,wape,bias,trained_at
xgboost,v1,HOSP_E,AB_NEGATIVE,PLASMA,24h,0.6593,0.7787,0.8317,0.0301,2026-09-05T14:50:58.292479
seasonal_naive,v1,HOSP_E,AB_NEGATIVE,PLATELETS,24h,0.9695,1.3136,1.3033,-0.0183,2026-09-05T14:50:58.319244
xgboost,v1,HOSP_E,AB_NEGATIVE,PLATELETS,24h,0.6578,0.7764,0.8843,0.0088,2026-09-05T14:50:58.319244
seasonal_naive,v1,HOSP_E,AB_NEGATIVE,RBC,24h,0.9939,1.2855,1.3252,0.0427,2026-09-05T14:50:58.342060
xgboost,v1,HOSP_E,AB_NEGATIVE,RBC,24h,0.6157,0.7144,0.821,0.1059,2026-09-05T14:50:58.342060
seasonal_naive,v1,HOSP_E,AB_NEGATIVE,WHOLE_BLOOD,24h,0.872,1.242,1.5376,0.0061,2026-09-05T14:50:58.366750
xgboost,v1,HOSP_E,AB_NEGATIVE,WHOLE_BLOOD,24h,0.6438,0.7669,1.1354,0.1143,2026-09-05T14:50:58.366750
seasonal_naive,v1,HOSP_E,AB_POSITIVE,PLASMA,24h,1.0427,1.3637,1.1554,0.0305,2026-09-05T14:50:58.391331
xgboost,v1,HOSP_E,AB_POSITIVE,PLASMA,24h,0.7209,0.8799,0.7988,0.0199,2026-09-05T14:50:58.391331
seasonal_naive,v1,HOSP_E,AB_POSITIVE,PLATELETS,24h,1.0366,1.4099,1.3492,0.0244,2026-09-05T14:50:58.410719
xgboost,v1,HOSP_E,AB_POSITIVE,PLATELETS,24h,0.6668,0.7948,0.8679,0.032,2026-09-05T14:50:58.410719
seasonal_naive,v1,HOSP_E,AB_POSITIVE,RBC,24h,0.9939,1.3183,1.1014,-0.0061,2026-09-05T14:50:58.432240
xgboost,v1,HOSP_E,AB_POSITIVE,RBC,24h,0.6278,0.7702,0.6957,0.0745,2026-09-05T14:50:58.432240
seasonal_naive,v1,HOSP_E,AB_POSITIVE,WHOLE_BLOOD,24h,1.0732,1.4185,1.3333,-0.0244,2026-09-05T14:50:58.455609
xgboost,v1,HOSP_E,AB_POSITIVE,WHOLE_BLOOD,24h,0.6586,0.8092,0.8183,0.0107,2026-09-05T14:50:58.455609
seasonal_naive,v1,HOSP_E,A_NEGATIVE,PLASMA,24h,1.2195,1.7001,1.0582,0.0244,2026-09-05T14:50:58.498038
xgboost,v1,HOSP_E,A_NEGATIVE,PLASMA,24h,0.7992,0.9489,0.6935,-0.0416,2026-09-05T14:50:58.498038
seasonal_naive,v1,HOSP_E,A_NEGATIVE,PLATELETS,24h,0.9939,1.2949,1.1014,0.0061,2026-09-05T14:50:58.546977
xgboost,v1,HOSP_E,A_NEGATIVE,PLATELETS,24h,0.6944,0.8519,0.7694,0.0013,2026-09-05T14:50:58.546977
seasonal_naive,v1,HOSP_E,A_NEGATIVE,RBC,24h,1.2195,1.5927,1.0582,0.0244,2026-09-05T14:50:58.570617
xgboost,v1,HOSP_E,A_NEGATIVE,RBC,24h,0.711,0.8792,0.617,0.0431,2026-09-05T14:50:58.570617
seasonal_naive,v1,HOSP_E,A_NEGATIVE,WHOLE_BLOOD,24h,1.0732,1.4399,1.2482,-0.0732,2026-09-05T14:50:58.595193
xgboost,v1,HOSP_E,A_NEGATIVE,WHOLE_BLOOD,24h,0.6894,0.838,0.8018,0.0122,2026-09-05T14:50:58.595193
seasonal_naive,v1,HOSP_E,A_POSITIVE,PLASMA,24h,1.4146,1.7635,0.7508,-0.0122,2026-09-05T14:50:58.614024
xgboost,v1,HOSP_E,A_POSITIVE,PLASMA,24h,0.8063,0.9855,0.428,0.0478,2026-09-05T14:50:58.614625
seasonal_naive,v1,HOSP_E,A_POSITIVE,PLATELETS,24h,1.628,2.0556,0.9536,-0.0061,2026-09-05T14:50:58.633674
xgboost,v1,HOSP_E,A_POSITIVE,PLATELETS,24h,0.7401,0.96,0.4335,0.0521,2026-09-05T14:50:58.633674
seasonal_naive,v1,HOSP_E,A_POSITIVE,RBC,24h,1.6037,2.0378,0.3925,-0.0061,2026-09-05T14:50:58.653814
xgboost,v1,HOSP_E,A_POSITIVE,RBC,24h,0.9091,1.1462,0.2225,-0.0907,2026-09-05T14:50:58.654815
seasonal_naive,v1,HOSP_E,A_POSITIVE,WHOLE_BLOOD,24h,1.2622,1.6249,0.8697,-0.0061,2026-09-05T14:50:58.690810
xgboost,v1,HOSP_E,A_POSITIVE,WHOLE_BLOOD,24h,0.7625,0.9479,0.5254,0.0784,2026-09-05T14:50:58.690810
seasonal_naive,v1,HOSP_E,B_NEGATIVE,PLASMA,24h,1.2317,1.682,1.2393,0.0488,2026-09-05T14:50:58.749067
xgboost,v1,HOSP_E,B_NEGATIVE,PLASMA,24h,0.6896,0.8623,0.6938,-0.0542,2026-09-05T14:50:58.749067
seasonal_naive,v1,HOSP_E,B_NEGATIVE,PLATELETS,24h,1.0366,1.3837,1.1111,0.0366,2026-09-05T14:50:58.774028
xgboost,v1,HOSP_E,B_NEGATIVE,PLATELETS,24h,0.7007,0.8772,0.7511,-0.0708,2026-09-05T14:50:58.774028
seasonal_naive,v1,HOSP_E,B_NEGATIVE,RBC,24h,1.0915,1.3815,1.1623,0.0305,2026-09-05T14:50:58.797906
xgboost,v1,HOSP_E,B_NEGATIVE,RBC,24h,0.7105,0.8337,0.7566,0.0219,2026-09-05T14:50:58.797906
seasonal_naive,v1,HOSP_E,B_NEGATIVE,WHOLE_BLOOD,24h,0.8598,1.2469,1.41,0.0549,2026-09-05T14:50:58.820942
xgboost,v1,HOSP_E,B_NEGATIVE,WHOLE_BLOOD,24h,0.6806,0.8446,1.1162,0.0908,2026-09-05T14:50:58.820942
seasonal_naive,v1,HOSP_E,B_POSITIVE,PLASMA,24h,1.122,1.4733,0.8,0.0,2026-09-05T14:50:58.843057
xgboost,v1,HOSP_E,B_POSITIVE,PLASMA,24h,0.7189,0.8779,0.5126,0.0016,2026-09-05T14:50:58.843057
seasonal_naive,v1,HOSP_E,B_POSITIVE,PLATELETS,24h,1.1524,1.4713,1.0559,-0.0183,2026-09-05T14:50:58.865400
xgboost,v1,HOSP_E,B_POSITIVE,PLATELETS,24h,0.7462,0.8951,0.6837,0.065,2026-09-05T14:50:58.865400
seasonal_naive,v1,HOSP_E,B_POSITIVE,RBC,24h,1.3293,1.725,0.7899,0.061,2026-09-05T14:50:58.884752
xgboost,v1,HOSP_E,B_POSITIVE,RBC,24h,0.8733,1.042,0.5189,0.0277,2026-09-05T14:50:58.884752
seasonal_naive,v1,HOSP_E,B_POSITIVE,WHOLE_BLOOD,24h,1.2744,1.6361,1.0609,0.0427,2026-09-05T14:50:58.904512
xgboost,v1,HOSP_E,B_POSITIVE,WHOLE_BLOOD,24h,0.7798,0.9451,0.6492,-0.0275,2026-09-05T14:50:58.904512
seasonal_naive,v1,HOSP_E,O_NEGATIVE,PLASMA,24h,0.8598,1.1713,0.94,-0.0183,2026-09-05T14:50:58.928227
xgboost,v1,HOSP_E,O_NEGATIVE,PLASMA,24h,0.6669,0.8096,0.7292,0.0668,2026-09-05T14:50:58.928227
seasonal_naive,v1,HOSP_E,O_NEGATIVE,PLATELETS,24h,1.0671,1.3859,1.1218,-0.0305,2026-09-05T14:50:59.065581
xgboost,v1,HOSP_E,O_NEGATIVE,PLATELETS,24h,0.7087,0.8751,0.745,0.0134,2026-09-05T14:50:59.065581
seasonal_naive,v1,HOSP_E,O_NEGATIVE,RBC,24h,1.3354,1.7721,0.9865,-0.0061,2026-09-05T14:50:59.090520
xgboost,v1,HOSP_E,O_NEGATIVE,RBC,24h,0.7954,0.9759,0.5876,-0.0015,2026-09-05T14:50:59.090520
seasonal_naive,v1,HOSP_E,O_NEGATIVE,WHOLE_BLOOD,24h,1.2073,1.5617,1.0312,-0.0732,2026-09-05T14:50:59.114262
xgboost,v1,HOSP_E,O_NEGATIVE,WHOLE_BLOOD,24h,0.692,0.8669,0.5911,-0.1019,2026-09-05T14:50:59.114262
seasonal_naive,v1,HOSP_E,O_POSITIVE,PLASMA,24h,1.5244,1.9286,0.5208,-0.0488,2026-09-05T14:50:59.139014
xgboost,v1,HOSP_E,O_POSITIVE,PLASMA,24h,0.8364,1.0517,0.2858,-0.0199,2026-09-05T14:50:59.139014
seasonal_naive,v1,HOSP_E,O_POSITIVE,PLATELETS,24h,1.4146,1.7565,0.6535,-0.0366,2026-09-05T14:50:59.156558
xgboost,v1,HOSP_E,O_POSITIVE,PLATELETS,24h,0.841,1.0276,0.3885,0.0271,2026-09-05T14:50:59.156558
seasonal_naive,v1,HOSP_E,O_POSITIVE,RBC,24h,1.3476,1.7892,0.2489,0.0183,2026-09-05T14:50:59.177275
xgboost,v1,HOSP_E,O_POSITIVE,RBC,24h,0.8461,1.0255,0.1563,-0.1,2026-09-05T14:50:59.177275
seasonal_naive,v1,HOSP_E,O_POSITIVE,WHOLE_BLOOD,24h,1.311,1.7126,0.911,0.0671,2026-09-05T14:50:59.293128
xgboost,v1,HOSP_E,O_POSITIVE,WHOLE_BLOOD,24h,0.7965,0.9601,0.5535,0.1988,2026-09-05T14:50:59.293128
