model_name,model_version,organization_id,blood_group,component_type,forecast_horizon,mae,rmse,wape,bias,trained_at
seasonal_naive,v1,BB_B,B_NEGATIVE,WHOLE_BLOOD,24h,0.872,1.2615,1.1532,-0.0061,2026-09-05T14:50:52.146823
xgboost,v1,BB_B,B_NEGATIVE,WHOLE_BLOOD,24h,0.6883,0.8407,0.9103,0.0455,2026-09-05T14:50:52.146823
seasonal_naive,v1,BB_B,B_POSITIVE,PLASMA,24h,1.3659,1.7285,0.5531,0.0244,2026-09-05T14:50:52.170274
xgboost,v1,BB_B,B_POSITIVE,PLASMA,24h,0.8449,1.0659,0.3421,-0.0549,2026-09-05T14:50:52.170274
seasonal_naive,v1,BB_B,B_POSITIVE,PLATELETS,24h,1.2195,1.5695,0.7843,0.0,2026-09-05T14:50:52.193175
xgboost,v1,BB_B,B_POSITIVE,PLATELETS,24h,0.8158,1.0002,0.5247,0.0152,2026-09-05T14:50:52.193175
seasonal_naive,v1,BB_B,B_POSITIVE,RBC,24h,1.0976,1.4314,0.2875,0.0244,2026-09-05T14:50:52.214175
xgboost,v1,BB_B,B_POSITIVE,RBC,24h,0.722,0.9318,0.1891,-0.024,2026-09-05T14:50:52.214175
seasonal_naive,v1,BB_B,B_POSITIVE,WHOLE_BLOOD,24h,1.2317,1.6155,1.0466,0.0244,2026-09-05T14:50:52.235734
xgboost,v1,BB_B,B_POSITIVE,WHOLE_BLOOD,24h,0.7893,0.9534,0.6707,0.0981,2026-09-05T14:50:52.235734
seasonal_naive,v1,BB_B,O_NEGATIVE,PLASMA,24h,1.0793,1.425,0.831,0.0427,2026-09-05T14:50:52.353723
xgboost,v1,BB_B,O_NEGATIVE,PLASMA,24h,0.7539,0.8974,0.5805,0.0217,2026-09-05T14:50:52.353723
seasonal_naive,v1,BB_B,O_NEGATIVE,PLATELETS,24h,1.2439,1.623,0.7876,-0.0244,2026-09-05T14:50:52.382206
xgboost,v1,BB_B,O_NEGATIVE,PLATELETS,24h,0.7183,0.9041,0.4548,-0.1193,2026-09-05T14:50:52.382206
seasonal_naive,v1,BB_B,O_NEGATIVE,RBC,24h,1.4634,1.8179,0.7101,0.0366,2026-09-05T14:50:52.412153
xgboost,v1,BB_B,O_NEGATIVE,RBC,24h,0.8694,1.0698,0.4218,-0.0314,2026-09-05T14:50:52.412153
seasonal_naive,v1,BB_B,O_NEGATIVE,WHOLE_BLOOD,24h,1.2134,1.7513,1.2922,0.0671,2026-09-05T14:50:52.522721
xgboost,v1,BB_B,O_NEGATIVE,WHOLE_BLOOD,24h,0.7169,0.8973,0.7635,0.1303,2026-09-05T14:50:52.522721
seasonal_naive,v1,BB_B,O_POSITIVE,PLASMA,24h,1.3841,1.7513,0.225,0.0427,2026-09-05T14:50:52.553806
xgboost,v1,BB_B,O_POSITIVE,PLASMA,24h,0.7908,1.0195,0.1285,-0.0633,2026-09-05T14:50:52.553806
seasonal_naive,v1,BB_B,O_POSITIVE,PLATELETS,24h,1.7256,2.171,0.406,0.0793,2026-09-05T14:50:52.577527
xgboost,v1,BB_B,O_POSITIVE,PLATELETS,24h,0.8695,1.1125,0.2046,0.0508,2026-09-05T14:50:52.577527
